,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Castro,-24.7911,-50.0119,44.04,97,13,2.24,BR,1627879406
1,Port Augusta,-32.5,137.7667,62.71,70,86,18.61,AU,1627879406
2,Busselton,-33.65,115.3333,58.05,66,100,10.36,AU,1627879407
3,Karratha,-20.7377,116.8463,76.21,25,0,15.41,AU,1627879408
4,Hilo,19.7297,-155.09,75.79,88,65,6.22,US,1627879004
5,Khuzhir,53.1939,107.3397,56.98,79,48,2.39,RU,1627879408
6,Fort Nelson,58.8053,-122.7002,78.39,65,20,2.3,CA,1627879408
7,Atuona,-9.8,-139.0333,77.41,68,31,12.5,PF,1627879410
8,Narsaq,60.9167,-46.05,57.42,97,100,2.93,GL,1627879410
9,Cape Town,-33.9258,18.4232,57.09,89,0,1.99,ZA,1627879411
10,Bredasdorp,-34.5322,20.0403,55.27,94,100,3.44,ZA,1627879412
11,Khatanga,71.9667,102.5,72.99,44,77,4.21,RU,1627879412
12,Cherskiy,68.75,161.3,44.91,65,71,21.34,RU,1627879412
13,Arraial do Cabo,-22.9661,-42.0278,65.1,75,19,14.2,BR,1627879413
14,Vaini,-21.2,-175.2,73.56,78,20,14.97,TO,1627879414
15,Khani,41.9563,42.9566,65.77,69,5,2.51,GE,1627879414
16,Punta Arenas,-53.15,-70.9167,39.31,81,40,12.66,CL,1627879347
17,Teknāf,20.8624,92.3058,81.9,84,91,7.27,BD,1627879415
18,Benicarló,40.4165,0.4271,71.19,61,88,1.14,ES,1627879415
19,Bluff,-46.6,168.3333,44.8,91,100,12.39,NZ,1627879415
20,Pala,9.3642,14.9046,71.19,94,100,7.96,TD,1627879416
21,Strezhevoy,60.7333,77.5889,57.18,60,100,9.62,RU,1627879416
22,Ushuaia,-54.8,-68.3,40.66,75,0,5.75,AR,1627879417
23,Asău,46.4333,26.4,73.76,68,19,4.52,RO,1627879417
24,Port Elizabeth,-33.918,25.5701,57.49,94,90,8.05,ZA,1627879369
25,Mataura,-46.1927,168.8643,44.47,95,100,5.59,NZ,1627879419
26,Rikitea,-23.1203,-134.9692,69.48,56,5,21.0,PF,1627879419
27,Bethel,41.3712,-73.414,67.91,92,20,0.0,US,1627879420
28,Collie,-33.3667,116.15,53.98,57,82,6.64,AU,1627879420
29,Somerset West,-34.084,18.8211,57.04,88,17,6.35,ZA,1627879423
30,Camacha,33.0833,-16.3333,68.76,88,40,14.97,PT,1627879424
31,Gweta,-20.1833,25.2333,54.39,47,0,7.61,BW,1627879424
32,Baruun-Urt,46.6806,113.2792,78.94,29,58,11.52,MN,1627879424
33,Mar del Plata,-38.0023,-57.5575,41.09,31,90,8.99,AR,1627879150
34,Upernavik,72.7868,-56.1549,41.59,81,2,9.95,GL,1627879425
35,Qaqortoq,60.7167,-46.0333,57.7,96,100,6.04,GL,1627879425
36,Beringovskiy,63.05,179.3167,45.0,80,99,24.79,RU,1627879426
37,Tasiilaq,65.6145,-37.6368,44.76,79,100,3.94,GL,1627879426
38,Portland,45.5234,-122.6762,81.37,63,20,1.99,US,1627878750
39,Avarua,-21.2078,-159.775,77.05,88,90,12.66,CK,1627879426
40,Nikolskoye,59.7035,30.7861,61.02,67,100,5.84,RU,1627879427
41,Port Alfred,-33.5906,26.891,59.83,84,90,11.43,ZA,1627879428
42,Horki,54.2861,30.9842,67.98,90,93,10.51,BY,1627879429
43,Lompoc,34.6391,-120.4579,65.1,80,1,6.91,US,1627879430
44,New Norfolk,-42.7826,147.0587,56.71,63,80,6.29,AU,1627879430
45,Mandalgovi,45.7625,106.2708,70.14,34,86,9.91,MN,1627879430
46,Zhigansk,66.7697,123.3711,80.67,38,1,13.2,RU,1627879431
47,Aktau,43.65,51.2,88.38,29,0,4.05,KZ,1627879431
48,Tomatlán,19.9333,-105.25,76.53,91,86,2.44,MX,1627879432
49,Codrington,-38.2667,141.9667,57.7,68,10,19.46,AU,1627879434
50,Hithadhoo,-0.6,73.0833,81.7,72,83,7.07,MV,1627879464
51,Adrar,20.5022,-10.0711,87.19,39,36,19.75,MR,1627879465
52,Saint Paul Harbor,57.79,-152.4072,56.71,88,90,0.0,US,1627879465
53,Dikson,73.5069,80.5464,42.6,97,98,7.96,RU,1627879466
54,Sebina,-20.8667,27.25,49.98,53,0,3.42,BW,1627879466
55,Uray,60.1247,64.7758,67.73,64,1,11.27,RU,1627879467
56,Faanui,-16.4833,-151.75,77.85,71,27,14.83,PF,1627879468
57,Hobart,-42.8794,147.3294,57.06,56,75,3.0,AU,1627879467
58,Puerto Ayora,-0.7393,-90.3518,70.56,92,46,3.0,EC,1627879468
59,Tiksi,71.6872,128.8694,55.47,56,10,6.22,RU,1627879470
60,Nara,34.6851,135.8049,97.92,45,91,8.32,JP,1627879333
61,Mareeba,-17.0,145.4333,80.44,47,2,8.55,AU,1627879471
62,Qaanaaq,77.484,-69.3632,40.37,88,70,4.5,GL,1627879472
63,Tuktoyaktuk,69.4541,-133.0374,57.2,88,75,4.61,CA,1627879472
64,Saint-Leu,-21.15,55.2833,70.66,64,22,2.06,RE,1627879472
65,Berlevåg,70.8578,29.0864,46.4,94,100,12.71,NO,1627879473
66,Lüderitz,-26.6481,15.1594,62.67,36,0,6.4,NA,1627879475
67,Gambēla,8.25,34.5833,69.62,97,100,1.43,ET,1627879476
68,Husavik,66.0449,-17.3389,49.91,73,100,0.92,IS,1627879477
69,Airai,-8.9266,125.4092,76.17,45,25,4.09,TL,1627879478
70,Mount Isa,-20.7333,139.5,89.37,22,90,12.66,AU,1627879478
71,Broome,42.2506,-75.833,60.91,98,90,1.99,US,1627879433
